slug,name,locality,state,wikipedia_search,wikidata_search,google_search
divya-desam-thiruazhundhur,"ThiruAzhundhur","","",https://en.wikipedia.org/w/index.php?search=ThiruAzhundhur%20temple,https://www.wikidata.org/w/index.php?search=ThiruAzhundhur%20temple,https://www.google.com/search?q=ThiruAzhundhur%20temple
divya-desam-thiruchireevaramangai,"ThiruChireevaramangai","","",https://en.wikipedia.org/w/index.php?search=ThiruChireevaramangai%20temple,https://www.wikidata.org/w/index.php?search=ThiruChireevaramangai%20temple,https://www.google.com/search?q=ThiruChireevaramangai%20temple
divya-desam-thiruchirupuliyoor,"ThiruChirupuliyoor","","",https://en.wikipedia.org/w/index.php?search=ThiruChirupuliyoor%20temple,https://www.wikidata.org/w/index.php?search=ThiruChirupuliyoor%20temple,https://www.google.com/search?q=ThiruChirupuliyoor%20temple
divya-desam-thiruchithrakootam,"ThiruChithrakootam","","",https://en.wikipedia.org/w/index.php?search=ThiruChithrakootam%20temple,https://www.wikidata.org/w/index.php?search=ThiruChithrakootam%20temple,https://www.google.com/search?q=ThiruChithrakootam%20temple
divya-desam-thiruindhalur,"ThiruIndhalur","","",https://en.wikipedia.org/w/index.php?search=ThiruIndhalur%20temple,https://www.wikidata.org/w/index.php?search=ThiruIndhalur%20temple,https://www.google.com/search?q=ThiruIndhalur%20temple
divya-desam-thiruidaventhai,"ThiruIdaventhai","","",https://en.wikipedia.org/w/index.php?search=ThiruIdaventhai%20temple,https://www.wikidata.org/w/index.php?search=ThiruIdaventhai%20temple,https://www.google.com/search?q=ThiruIdaventhai%20temple
divya-desam-thirukaatkarai,"ThiruKaatkarai","","",https://en.wikipedia.org/w/index.php?search=ThiruKaatkarai%20temple,https://www.wikidata.org/w/index.php?search=ThiruKaatkarai%20temple,https://www.google.com/search?q=ThiruKaatkarai%20temple
divya-desam-thirukadanmallai,"ThiruKadanmallai","","",https://en.wikipedia.org/w/index.php?search=ThiruKadanmallai%20temple,https://www.wikidata.org/w/index.php?search=ThiruKadanmallai%20temple,https://www.google.com/search?q=ThiruKadanmallai%20temple
divya-desam-thirukaazhisrirama-vinnagaram,"ThiruKaazhisrirama Vinnagaram","","",https://en.wikipedia.org/w/index.php?search=ThiruKaazhisrirama%20Vinnagaram%20temple,https://www.wikidata.org/w/index.php?search=ThiruKaazhisrirama%20Vinnagaram%20temple,https://www.google.com/search?q=ThiruKaazhisrirama%20Vinnagaram%20temple
divya-desam-thirukadithaanam,"ThiruKadithaanam","","",https://en.wikipedia.org/w/index.php?search=ThiruKadithaanam%20temple,https://www.wikidata.org/w/index.php?search=ThiruKadithaanam%20temple,https://www.google.com/search?q=ThiruKadithaanam%20temple
divya-desam-thirukandamennum-kadinagar,"ThiruKandamennum Kadinagar","","",https://en.wikipedia.org/w/index.php?search=ThiruKandamennum%20Kadinagar%20temple,https://www.wikidata.org/w/index.php?search=ThiruKandamennum%20Kadinagar%20temple,https://www.google.com/search?q=ThiruKandamennum%20Kadinagar%20temple
divya-desam-thirukarambanoor,"ThiruKarambanoor","","",https://en.wikipedia.org/w/index.php?search=ThiruKarambanoor%20temple,https://www.wikidata.org/w/index.php?search=ThiruKarambanoor%20temple,https://www.google.com/search?q=ThiruKarambanoor%20temple
divya-desam-thirukarvanam,"ThiruKarvanam","","",https://en.wikipedia.org/w/index.php?search=ThiruKarvanam%20temple,https://www.wikidata.org/w/index.php?search=ThiruKarvanam%20temple,https://www.google.com/search?q=ThiruKarvanam%20temple
divya-desam-thirukavalambadi,"ThiruKavalambadi","","",https://en.wikipedia.org/w/index.php?search=ThiruKavalambadi%20temple,https://www.wikidata.org/w/index.php?search=ThiruKavalambadi%20temple,https://www.google.com/search?q=ThiruKavalambadi%20temple
